Problem,Makespan_baseline,Makespan_algo,Gap_%,Feasible,AllServed,Construction_s,TS_s,Penalty_TW,Penalty_Cap,Penalty_Range,Penalty_Wait,Truck_paths,Drone_paths,Truck_working_time,Drone_working_time
100.20.1,4302.3068,4355.114,1.2274,True,True,0.584,120.796,0.0,0.0,0.0,0.0,"[[[0, 96, 97, 87, 66, 46, 9, 48, 63, 36, 25, 82, 37, 62, 29, 65, 56, 34, 0]], [[0, 27, 17, 51, 4, 95, 99, 32, 2, 93, 41, 28, 55, 7, 49, 18, 39, 86, 42, 88, 74, 21, 0]], [[0, 75, 11, 33, 23, 45, 81, 58, 30, 94, 8, 64, 22, 13, 76, 70, 91, 59, 90, 92, 57, 71, 80, 50, 100, 0]], [[0, 83, 44, 68, 89, 12, 35, 3, 98, 15, 73, 5, 47, 78, 1, 0]]]","[[[0, 52, 31, 0], [0, 26, 20, 84, 0], [0, 69, 67, 60, 43, 0], [0, 85, 16, 0], [0, 54, 0], [0, 10, 53, 19, 0], [0, 6, 0]], [[0, 77, 14, 0], [0, 72, 40, 0], [0, 79, 24, 0]], [[0, 61, 0]], [[0, 38, 0]]]","[4244.7148, 4343.7699, 4355.114, 4304.4005]","[4340.8699, 3967.1018, 665.1897, 677.304]"
100.20.2,4055.9937,4393.2335,8.3146,False,True,0.608,124.194,2840.6498,0.0,0.0,0.0,"[[[0, 63, 82, 45, 24, 80, 74, 11, 41, 55, 95, 37, 59, 25, 86, 19, 44, 84, 83, 46, 39, 99, 0]], [[0, 49, 54, 65, 91, 8, 75, 43, 69, 29, 36, 34, 1, 58, 100, 68, 33, 51, 48, 35, 3, 0]], [[0, 98, 90, 52, 21, 40, 2, 32, 56, 60, 10, 78, 89, 20, 30, 94, 23, 64, 79, 0]], [[0, 62, 14, 61, 76, 5, 28, 15, 17, 26, 22, 67, 70, 92, 18, 87, 93, 38, 88, 12, 0]]]","[[[0, 47, 0], [0, 57, 0], [0, 50, 4, 6, 0], [0, 97, 27, 0], [0, 53, 0]], [[0, 72, 0], [0, 73, 0], [0, 66, 0], [0, 77, 0]], [[0, 81, 96, 0], [0, 31, 7, 42, 0], [0, 13, 0]], [[0, 71, 85, 0], [0, 16, 9, 0]]]","[4230.3633, 4157.1103, 4393.2335, 4218.1857]","[3092.1762, 2348.7, 1968.1791, 1855.2003]"
100.20.3,4196.0262,5468.6664,30.3297,False,True,0.568,121.935,190.5078,0.0,0.0,0.0,"[[[0, 11, 57, 49, 75, 79, 98, 13, 77, 16, 59, 81, 1, 92, 47, 84, 100, 9, 80, 0]], [[0, 73, 18, 51, 97, 10, 14, 5, 71, 65, 24, 67, 88, 68, 28, 12, 78, 83, 27, 32, 0]], [[0, 52, 26, 58, 3, 21, 87, 8, 93, 62, 40, 82, 89, 6, 46, 39, 17, 7, 2, 66, 35, 54, 96, 37, 31, 61, 36, 0]], [[0, 4, 53, 48, 55, 99, 74, 90, 60, 85, 43, 64, 70, 15, 91, 0]]]","[[[0, 63, 0], [0, 42, 30, 0], [0, 95, 72, 0], [0, 19, 0], [0, 50, 69, 86, 0], [0, 23, 0]], [[0, 29, 38, 45, 76, 0], [0, 25, 41, 0], [0, 20, 94, 0]], [[0, 33, 0], [0, 44, 0]], [[0, 34, 0], [0, 56, 22, 0]]]","[5217.5071, 5386.91, 5371.7554, 5468.6664]","[4431.6287, 1761.08, 1305.809, 1294.9108]"
100.20.4,4358.967,4847.7596,11.2135,False,True,0.628,120.607,3461.3305,0.0,0.0,0.0,"[[[0, 98, 17, 2, 79, 11, 71, 58, 72, 61, 87, 85, 40, 14, 24, 65, 73, 50, 77, 6, 45, 0]], [[0, 96, 20, 57, 76, 31, 1, 18, 35, 3, 80, 69, 53, 55, 100, 54, 43, 21, 46, 9, 23, 92, 62, 0]], [[0, 63, 44, 47, 49, 37, 70, 32, 16, 82, 33, 25, 28, 0]], [[0, 51, 84, 27, 94, 68, 74, 22, 19, 26, 81, 89, 10, 0]]]","[[[0, 48, 0], [0, 36, 64, 56, 91, 0], [0, 8, 99, 83, 95, 0], [0, 13, 30, 0], [0, 60, 5, 0], [0, 34, 0]], [[0, 93, 0], [0, 88, 75, 0], [0, 86, 0], [0, 29, 52, 38, 0], [0, 15, 97, 0]], [[0, 7, 0], [0, 12, 39, 0], [0, 41, 67, 78, 0], [0, 42, 0], [0, 4, 0]], [[0, 90, 0], [0, 66, 0], [0, 59, 0]]]","[4558.6821, 4586.9077, 4460.3491, 4847.7596]","[3796.9467, 4276.6081, 3057.6815, 2512.3778]"
100.30.1,8802.9066,8964.1412,1.8316,False,True,0.513,121.386,396.8493,0.0,0.0,0.0,"[[[0, 61, 1, 58, 66, 64, 17, 91, 13, 59, 53, 50, 45, 46, 65, 79, 25, 74, 52, 57, 32, 90, 28, 37, 63, 43, 29, 70, 47, 72, 76, 10, 0]], [[0, 87, 55, 30, 100, 33, 80, 15, 14, 83, 12, 82, 95, 5, 67, 77, 54, 86, 73, 99, 96, 0]], [[0, 41, 88, 69, 31, 4, 89, 56, 36, 44, 9, 18, 94, 2, 34, 40, 24, 35, 19, 26, 81, 0]], [[0, 97, 68, 98, 51, 8, 27, 23, 48, 7, 22, 75, 93, 3, 60, 38, 49, 62, 85, 78, 20, 39, 0]]]","[[[0, 92, 21, 71, 0], [0, 84, 0]], [[0, 16, 0], [0, 11, 0]], [[0, 42, 0]], [[0, 6, 0]]]","[8960.3039, 8964.1412, 8932.5116, 8855.6616]","[1970.195, 1062.597, 602.1335, 698.5012]"
100.30.2,8596.1566,8552.7951,-0.5044,True,True,0.524,120.569,0.0,0.0,0.0,0.0,"[[[0, 78, 89, 19, 4, 77, 12, 47, 7, 38, 39, 59, 98, 1, 8, 96, 44, 53, 49, 34, 27, 51, 30, 92, 0]], [[0, 33, 93, 16, 82, 65, 35, 57, 6, 64, 95, 72, 17, 66, 73, 25, 81, 74, 99, 45, 15, 3, 43, 22, 0]], [[0, 50, 79, 24, 63, 84, 23, 97, 80, 85, 52, 21, 18, 28, 70, 58, 54, 41, 37, 94, 14, 36, 62, 55, 0]], [[0, 5, 68, 56, 32, 11, 29, 40, 2, 69, 46, 48, 67, 83, 42, 75, 20, 0]]]","[[[0, 91, 9, 0], [0, 31, 0], [0, 87, 0], [0, 13, 61, 0]], [[0, 90, 0]], [[0, 100, 88, 76, 0], [0, 60, 10, 0], [0, 86, 26, 0]], [[0, 71, 0]]]","[8545.5522, 8503.5795, 8552.7951, 8552.5538]","[4273.3102, 303.6364, 3639.8779, 529.8499]"
100.30.3,8911.0683,8862.9583,-0.5399,True,True,0.576,121.793,0.0,0.0,0.0,0.0,"[[[0, 40, 70, 85, 4, 73, 18, 89, 6, 37, 19, 79, 86, 69, 8, 23, 34, 11, 97, 65, 80, 75, 72, 3, 15, 55, 0]], [[0, 60, 59, 64, 13, 29, 87, 38, 50, 54, 33, 88, 66, 44, 46, 28, 22, 51, 53, 98, 83, 9, 78, 0]], [[0, 41, 61, 45, 47, 95, 30, 12, 52, 96, 71, 27, 42, 21, 82, 63, 5, 90, 35, 32, 31, 17, 68, 0]], [[0, 39, 56, 7, 25, 58, 91, 24, 48, 26, 67, 43, 20, 81, 84, 62, 36, 94, 1, 0]]]","[[[0, 10, 77, 0], [0, 93, 0], [0, 2, 0], [0, 14, 49, 0], [0, 100, 99, 0]], [[0, 92, 0], [0, 57, 16, 0]], [[0, 76, 0]], [[0, 74, 0]]]","[8846.7837, 8823.9629, 8862.9583, 8846.7638]","[3602.427, 1219.8902, 692.7025, 922.1602]"
100.30.4,8652.4201,9606.4016,11.0256,False,True,0.571,122.209,20085.04,0.0,0.0,0.0,"[[[0, 9, 59, 66, 29, 79, 98, 39, 2, 80, 99, 87, 23, 53, 44, 88, 56, 21, 86, 6, 38, 45, 25, 0]], [[0, 48, 1, 63, 93, 16, 78, 58, 77, 27, 96, 85, 76, 40, 91, 92, 12, 84, 69, 20, 7, 55, 51, 31, 52, 18, 46, 30, 61, 74, 0]], [[0, 24, 60, 94, 11, 81, 15, 28, 43, 8, 26, 83, 33, 97, 42, 32, 3, 0]], [[0, 90, 37, 41, 14, 64, 71, 75, 19, 73, 70, 49, 22, 47, 100, 57, 65, 62, 17, 4, 34, 72, 36, 67, 10, 54, 89, 95, 82, 0]]]","[[[0, 68, 13, 35, 0], [0, 50, 0]], [[0, 5, 0]]]","[9606.4016, 9299.4534, 9373.31, 9306.7027]","[2397.9567, 649.8013]"
100.40.1,14597.8062,16694.2773,14.3615,False,True,0.553,122.942,13439.5997,0.0,0.0,0.0,"[[[0, 92, 33, 20, 89, 9, 83, 66, 64, 4, 63, 86, 88, 65, 87, 68, 50, 30, 21, 84, 10, 82, 15, 81, 31, 56, 37, 69, 26, 0]], [[0, 76, 5, 34, 54, 32, 57, 71, 95, 67, 2, 97, 24, 94, 52, 41, 51, 35, 75, 53, 44, 0]], [[0, 43, 8, 78, 38, 6, 58, 85, 1, 18, 70, 72, 61, 19, 11, 73, 42, 27, 40, 23, 0]], [[0, 7, 47, 93, 39, 28, 13, 12, 96, 98, 60, 90, 77, 79, 74, 14, 100, 46, 91, 29, 99, 59, 16, 3, 17, 22, 0]]]","[[[0, 48, 80, 45, 0], [0, 49, 36, 0]], [[0, 25, 0]], [[0, 55, 62, 0]]]","[14536.0295, 16694.2773, 15567.2154, 15345.1429]","[1593.7712, 661.3742, 1025.3351]"
100.40.2,15140.8971,15068.1011,-0.4808,False,True,0.562,123.522,13053.258,0.0,0.0,0.0,"[[[0, 91, 35, 13, 44, 94, 28, 82, 21, 70, 78, 92, 86, 16, 83, 62, 54, 10, 29, 50, 15, 46, 93, 0]], [[0, 77, 60, 14, 3, 36, 7, 65, 22, 72, 89, 76, 39, 73, 61, 55, 31, 56, 63, 1, 68, 40, 8, 6, 75, 38, 97, 79, 80, 42, 99, 34, 0]], [[0, 37, 47, 51, 33, 26, 87, 66, 69, 20, 2, 95, 32, 58, 45, 98, 19, 0]], [[0, 17, 52, 88, 4, 30, 67, 41, 64, 24, 48, 81, 18, 90, 96, 23, 25, 59, 9, 53, 27, 0]]]","[[[0, 43, 85, 12, 0]], [[0, 100, 0], [0, 49, 0]], [[0, 74, 0], [0, 57, 0]], [[0, 84, 11, 5, 0], [0, 71, 0]]]","[15068.1011, 14953.7281, 15067.212, 15064.6234]","[1010.3529, 969.8028, 958.907, 1327.2848]"
100.40.3,15196.6636,15456.6538,1.7108,False,True,0.566,121.339,1970.2571,0.0,0.0,0.0,"[[[0, 87, 5, 68, 58, 51, 49, 9, 61, 14, 39, 43, 79, 92, 99, 89, 45, 76, 57, 93, 62, 35, 17, 30, 19, 22, 27, 0]], [[0, 50, 13, 95, 7, 73, 91, 65, 41, 12, 36, 37, 42, 63, 29, 10, 70, 97, 15, 2, 59, 100, 24, 0]], [[0, 47, 80, 78, 48, 88, 1, 11, 55, 25, 40, 32, 67, 85, 84, 56, 0]], [[0, 69, 53, 81, 3, 44, 8, 71, 66, 52, 34, 75, 28, 46, 26, 60, 31, 20, 90, 21, 98, 54, 77, 72, 74, 86, 33, 23, 83, 0]]]","[[[0, 64, 94, 0], [0, 96, 4, 0]], [[0, 6, 16, 0], [0, 18, 0], [0, 38, 0]], [[0, 82, 0]]]","[15078.623, 15383.6859, 15020.558, 15456.6538]","[3761.5318, 3749.8003, 1652.3527]"
100.40.4,14429.3448,14486.9191,0.399,False,True,0.54,124.951,467.5669,0.0,0.0,0.0,"[[[0, 2, 26, 34, 91, 59, 14, 58, 22, 11, 55, 24, 94, 63, 86, 18, 88, 62, 64, 85, 57, 4, 84, 27, 0]], [[0, 12, 100, 30, 49, 38, 9, 74, 16, 23, 82, 1, 17, 68, 45, 19, 25, 89, 66, 50, 95, 83, 61, 51, 0]], [[0, 42, 46, 79, 90, 37, 5, 28, 41, 93, 75, 44, 39, 97, 40, 52, 76, 7, 92, 67, 0]], [[0, 32, 69, 65, 80, 54, 47, 96, 71, 48, 73, 56, 70, 60, 21, 6, 99, 33, 87, 81, 53, 8, 31, 36, 15, 13, 35, 0]]]","[[[0, 78, 0], [0, 98, 77, 0], [0, 3, 0], [0, 72, 0], [0, 20, 43, 0]], [[0, 10, 0], [0, 29, 0]]]","[14473.173, 14436.8568, 14381.7844, 14486.9191]","[4428.9886, 1766.2044]"
